web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1732154411-46","https://www.klikindomaret.com/category/sarapan","Energen Cereal & Susu Instant Vanilla 5X32G","","Rp 11.500"
"1732154411-47","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kacang Hijau 10X35G","","Rp 23.000"
"1732154411-48","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 10X35g","","Rp 23.000"
"1732154411-49","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 5X34g","","Rp 11.500"
"1732154411-50","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Vanila 10X34g","","Rp 23.000"
"1732154411-51","https://www.klikindomaret.com/category/sarapan","Fitbar Cheese Fitbar 20G","","Rp 5.600"
"1732154411-52","https://www.klikindomaret.com/category/sarapan","Fitbar Chocolate Fitbar 20G","","Rp 5.600"
"1732154411-53","https://www.klikindomaret.com/category/sarapan","Fitbar Fruit Fitbar Kismis Raspbery 20G","","Rp 5.600"
"1732154411-54","https://www.klikindomaret.com/category/sarapan","Fitbar Tiramisu Fitbar 20G","","Rp 5.600"
"1732154411-55","https://www.klikindomaret.com/category/sarapan","Goldenfil Spread Choco Crunchy 350g","","Rp 33.500"
"1732154411-56","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meisis Mix 200G","","Rp 13.900"
"1732154411-57","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises 200g","","Rp 13.900"
"1732154411-58","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","","Rp 14.900"
"1732154411-59","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","","Rp 14.900"
"1732154411-60","https://www.klikindomaret.com/category/sarapan","Indomaret Spread Chocolate 160G","","Rp 19.200"
"1732154411-61","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Coco Fills 60G","","Rp 10.900"
"1732154411-62","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Honey Crunch 55G","","Rp 11.500"
"1732154411-63","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","","Rp 25.900"
"1732154411-64","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 55G","","Rp 10.900"
"1732154411-65","https://www.klikindomaret.com/category/sarapan","Kellogg's Granola Dark Chocolate 40G","","Rp 13.200"
"1732154411-66","https://www.klikindomaret.com/category/sarapan","Kellogg's Granola Mixed Berries 40G","","Rp 13.200"
"1732154411-67","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 5.500"
"1732154411-68","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 7.000"
"1732154411-69","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.900"
"1732154411-70","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","","Rp 29.700"
"1732154411-71","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","","Rp 26.600"
